conversationId,ProlificID,RaisedHandCount,avatarFile,SelfCond,TeamRace,Finished,MessageCount,AverageCharsPerMessage,FinishCodesRGWGSSGVSTEST,232a88e0-4bdc-4926-b749-a436c6c70e31,private,A,2024-05-02T19:25:37.745Z,0,0,0,0,,
GSGSSDBVSTEST,b1bb3db0-7707-4a25-a874-d5e6ba174429,none,A,2024-05-02T19:36:32.743Z,0,0,0,0,,
SDSABWRBSDTEST,5f20f9af-8d27-4a2f-9e65-7f5805ed05be,public,B,2024-05-02T19:42:13.275Z,0,0,0,0,,
SFGWBSRTEST,1c8a4107-71a4-4972-94c4-ac2bee00eeb2,private,A,2024-05-02T19:47:26.863Z,0,0,0,0,,
SGDDASBFSTEST,f75fafd6-4b8e-4b69-bb24-0b7daeffdf8f,none,A,2024-05-02T19:54:35.994Z,0,0,0,0,,
sfhbsBHWSBTEST,448f2b94-28ca-4fb9-910f-e44a3a0ac16c,private,A,2024-05-02T20:00:04.845Z,0,0,0,0,,
SFBSFBSTEST,5df85606-923e-405b-a38c-1a3bb579ad0f,private,A,2024-05-02T20:03:28.654Z,0,0,0,0,,
SBGABSTEST,d8c66bf1-0689-4370-8cb9-ede0e048ed3d,private,B,2024-05-02T20:13:30.486Z,0,0,0,0,,
d8c66bf1-0689-4370-8cb9-ede0e048ed3d,SBGABSTEST,4,""".//avatars/majority/avatar_23.png""",private,B,2024-05-02T22:11:40.116Z,4,39.00
DBSABDSDATEST,a686eca7-66c6-41aa-b529-9b5ea6876c4e,public,B,2024-05-02T22:11:47.177Z,0,0,0,0,,
sfBSB STEST,22bc79bd-9c51-48e9-9e34-4f8732155acd,private,B,2024-05-02T22:25:27.110Z,0,0,0,0,,
sbgwsbsdFBTEST,ec2e5c39-e794-4134-9f54-e8c8accfdd48,public,B,2024-05-02T22:45:11.555Z,0,0,0,0,,
ec2e5c39-e794-4134-9f54-e8c8accfdd48,sbgwsbsdFBTEST,5,""".//avatars/majority/avatar_1.png""",public,B,2024-05-02T22:51:21.206Z,5,58.40
SGVBFsegvsrbgvsw422TEST,c45a1db8-ca0b-40fa-b1e4-5aab5f0f7a74,private,B,2024-05-02T22:51:39.395Z,0,0,0,0,,
VFEWVWVWETEST,6a2332bc-aba0-48bc-b72f-f91aac24c285,none,B,2024-05-18T00:38:02.246Z,0,0,0,0,,
evcwqevqaTEST,41d37734-2292-473a-b980-8a83462e024d,private,B,2024-05-18T00:46:57.435Z,0,0,0,0,,
BFSBFSBTEST,e6499642-65c6-403d-bd76-2c9dc6a002d2,none,A,2024-05-18T00:58:41.073Z,0,0,0,0,,
sadgsbvSBTEST,23e4baa0-ee30-4b2e-985b-d1d037a4987f,private,A,2024-05-19T22:54:36.130Z,0,0,0,0,,
sfbgrenawfaTEST,7fb3d477-dcf5-438c-b12b-6c8fb89d3701,public,A,2024-05-19T22:58:34.271Z,0,0,0,0,,
sdvbsfbwTEST,d108b3b9-3c1e-4115-b206-dd2e1d210b2c,private,A,2024-05-19T23:05:41.893Z,0,0,0,0,,
dsaBSFBTEST,ddcb558e-6791-4d00-b088-b64fe0f1e814,public,A,2024-05-19T23:18:08.656Z,0,0,0,0,,
FBSBadbSTEST,4e73f10c-8650-453f-88db-06744c4fa5ff,public,A,2024-05-19T23:29:59.855Z,0,0,0,0,,
4e73f10c-8650-453f-88db-06744c4fa5ff,FBSBadbSTEST,14,""".//avatars/majority/avatar_3.png""",public,A,2024-05-19T23:40:42.493Z,14,59.21
DGVSBFSDFTEST,10460ecd-871f-4a6e-a0cd-06696e38951d,private,A,2024-05-19T23:43:26.217Z,0,0,0,0,,
10460ecd-871f-4a6e-a0cd-06696e38951d,DGVSBFSDFTEST,16,""".//avatars/majority/avatar_27.png""",private,A,2024-05-19T23:51:37.967Z,16,55.75
13rgetTEST,35c5992d-a3f9-4c60-a687-e21c18064624,none,B,2024-08-30T03:16:41.046Z,0,0,0,0,,
